location_name,datetimeLocal,co,no2,o3,pm1,pm10,pm25,relativehumidity,temperature,um003
Dakar Plateau ,2025-08-03T17:00:00+01:00,,,,2.0780000189940133,,4.7440833648045855,43.22800064086914,34.14100042978922,381.5098775227864
Dakar Plateau ,2025-08-03T18:00:00+01:00,,,,1.8790833503007889,,4.331500053405762,44.0257085164388,33.57645893096924,361.9666239420573
Dakar Plateau ,2025-08-03T19:00:00+01:00,,,,2.15995834271113,,4.878041644891103,44.32312488555908,33.17266591389974,382.20532989501953
Dakar Plateau ,2025-08-03T20:00:00+01:00,,,,1.6929166714350383,,4.4258749683698015,44.33133316040039,32.822958628336586,364.16962178548175
Dakar Plateau ,2025-08-03T21:00:00+01:00,,,,2.1325833400090537,,4.95954171816508,46.11479155222575,32.01962502797445,390.4447911580404
Dakar Plateau ,2025-08-03T22:00:00+01:00,,,,2.5438750088214874,,5.165541688601176,47.20141665140788,31.59337504704793,402.0811309814453
Dakar Plateau ,2025-08-03T23:00:00+01:00,,,,2.3089166581630707,,4.939916729927063,47.26204204559326,31.481416702270508,388.7880350748698
Dakar Plateau ,2025-08-04T00:00:00+01:00,,,,1.9021249910195668,,4.599291622638702,47.67533302307129,31.303374926249187,370.9207051595052
Dakar Plateau ,2025-08-04T01:00:00+01:00,,,,1.957208335399628,,4.756291667620341,48.2614164352417,31.115166823069256,387.6577911376953
"Divine healer's Church, Bethlehem",2025-08-03T01:00:00Z,,,,21.983333587646484,,33.787500063578285,67.43333371480306,25.083333651224773,1165.0
"Divine healer's Church, Bethlehem",2025-08-03T02:00:00Z,,,,17.962499777475994,,29.77916685740153,68.38333384195964,24.84166669845581,957.0
"Divine healer's Church, Bethlehem",2025-08-03T03:00:00Z,,,,16.90833346048991,,27.49583339691162,68.99583307902019,24.558332920074463,874.4583333333334
"Divine healer's Church, Bethlehem",2025-08-03T04:00:00Z,,,,14.045833269755043,,26.37500015894572,68.47916603088379,24.541666825612385,859.4583333333334
"Divine healer's Church, Bethlehem",2025-08-03T05:00:00Z,,,,20.05416663487752,,31.77083333333333,68.5749994913737,24.47083330154419,1086.4583333333333
"Divine healer's Church, Bethlehem",2025-08-03T06:00:00Z,,,,25.07083320617676,,39.51250012715658,70.36666615804036,23.824999809265137,1492.8333333333333
"Divine healer's Church, Bethlehem",2025-08-03T07:00:00Z,,,,30.0,,47.920833905537926,68.12499936421712,24.38750012715657,2036.9166666666667
"Divine healer's Church, Bethlehem",2025-08-03T08:00:00Z,,,,29.924999872843426,,46.84583346048991,67.09166717529297,24.70000012715657,2034.3333333333333
"Divine healer's Church, Bethlehem",2025-08-03T09:00:00Z,,,,25.533332983652752,,39.99583339691162,64.47083346048991,25.479166825612385,1547.5
"Divine healer's Church, Bethlehem",2025-08-03T10:00:00Z,,,,20.8666668732961,,32.18750031789144,60.27500025431315,26.72083330154419,1193.3333333333333
"Divine healer's Church, Bethlehem",2025-08-03T11:00:00Z,,,,19.150000163487025,,30.964285441807338,57.33571406773159,27.714285714285715,1096.571428571429
"Divine healer's Church, Bethlehem",2025-08-03T22:00:00Z,,,,27.858333269755047,,43.62916660308838,66.33749898274739,25.295833428700764,1773.0
"Divine healer's Church, Bethlehem",2025-08-03T23:00:00Z,,,,27.75833336512248,,43.21250025431315,66.66249974568684,25.274999459584556,1736.25
"Divine healer's Church, Bethlehem",2025-08-04T00:00:00Z,,,,24.39166657129924,,37.90000009536743,66.90000089009602,25.33333301544189,1433.2083333333333
Nairobi,2025-08-03T05:16:24+03:00,,,,,,7.5,,,
Nairobi,2025-08-03T05:33:36+03:00,,,,,,7.76,,,
Nairobi,2025-08-03T05:50:46+03:00,,,,,,7.56,,,
Nairobi,2025-08-03T06:07:52+03:00,,,,,,7.47,,,
Nairobi,2025-08-03T06:32:16+03:00,,,,,,7.88,,,
Nairobi,2025-08-03T06:49:28+03:00,,,,,,8.44,,,
Nairobi,2025-08-03T07:06:35+03:00,,,,,,7.89,,,
Nairobi,2025-08-03T08:15:04+03:00,,,,,,9.76,,,
Nairobi,2025-08-03T08:32:10+03:00,,,,,,8.0,,,
Nairobi,2025-08-03T08:49:17+03:00,,,,,,8.38,,,
Nairobi,2025-08-03T09:06:24+03:00,,,,,,8.78,,,
Nairobi,2025-08-03T10:14:56+03:00,,,,,,9.37,,,
Nairobi,2025-08-03T10:32:06+03:00,,,,,,8.52,,,
Nairobi,2025-08-03T10:49:12+03:00,,,,,,8.45,,,
Nairobi,2025-08-03T11:06:23+03:00,,,,,,9.66,,,
Nairobi,2025-08-03T13:13:31+03:00,,,,,,9.01,,,
Nairobi,2025-08-03T13:30:42+03:00,,,,,,10.07,,,
Nairobi,2025-08-03T13:48:07+03:00,,,,,,9.98,,,
Nairobi,2025-08-03T14:05:14+03:00,,,,,,9.3,,,
Nairobi,2025-08-03T15:00:56+03:00,,,,,,11.03,,,
Nairobi,2025-08-03T15:18:02+03:00,,,,,,9.12,,,
Nairobi,2025-08-03T15:35:08+03:00,,,,,,8.37,,,
Nairobi,2025-08-03T15:52:14+03:00,,,,,,8.98,,,
Nairobi,2025-08-03T17:00:43+03:00,,,,,,8.93,,,
Nairobi,2025-08-03T17:17:49+03:00,,,,,,10.07,,,
Nairobi,2025-08-03T17:42:12+03:00,,,,,,9.39,,,
Nairobi,2025-08-03T17:59:18+03:00,,,,,,14.42,,,
Nairobi,2025-08-03T18:16:25+03:00,,,,,,10.97,,,
Nairobi,2025-08-03T18:33:32+03:00,,,,,,12.38,,,
Nairobi,2025-08-03T18:50:39+03:00,,,,,,10.79,,,
Nairobi,2025-08-03T20:03:53+03:00,,,,,,18.4,,,
Nairobi,2025-08-03T20:21:02+03:00,,,,,,18.81,,,
Nairobi,2025-08-03T20:38:08+03:00,,,,,,16.69,,,
Nairobi,2025-08-03T20:55:15+03:00,,,,,,21.45,,,
Nairobi,2025-08-03T23:12:18+03:00,,,,,,25.45,,,
Nairobi,2025-08-03T23:29:32+03:00,,,,,,22.23,,,
Nairobi,2025-08-03T23:46:41+03:00,,,,,,19.47,,,
Nairobi,2025-08-04T00:03:48+03:00,,,,,,19.31,,,
Nakuru,2025-08-03T03:06:00+03:00,,,,,,16.49,,,
Nakuru,2025-08-03T05:06:21+03:00,,,,,,14.21,,,
Nakuru,2025-08-03T05:23:33+03:00,,,,,,16.14,,,
Nakuru,2025-08-03T05:40:45+03:00,,,,,,12.96,,,
Nakuru,2025-08-03T05:57:56+03:00,,,,,,15.78,,,
Nakuru,2025-08-03T06:15:08+03:00,,,,,,16.15,,,
Nakuru,2025-08-03T06:32:20+03:00,,,,,,17.44,,,
Nakuru,2025-08-03T06:49:31+03:00,,,,,,15.58,,,
Nakuru,2025-08-03T07:06:43+03:00,,,,,,17.7,,,
Nakuru,2025-08-03T08:15:29+03:00,,,,,,22.51,,,
Nakuru,2025-08-03T08:32:40+03:00,,,,,,21.42,,,
Nakuru,2025-08-03T08:49:52+03:00,,,,,,16.66,,,
Nakuru,2025-08-03T09:07:03+03:00,,,,,,22.63,,,
Nakuru,2025-08-03T10:15:48+03:00,,,,,,15.42,,,
Nakuru,2025-08-03T10:32:59+03:00,,,,,,15.19,,,
Nakuru,2025-08-03T10:50:10+03:00,,,,,,13.4,,,
Nakuru,2025-08-03T13:07:39+03:00,,,,,,12.45,,,
Nakuru,2025-08-03T13:24:50+03:00,,,,,,12.95,,,
Nakuru,2025-08-03T13:42:02+03:00,,,,,,11.91,,,
Nakuru,2025-08-03T13:59:13+03:00,,,,,,11.85,,,
Nakuru,2025-08-03T15:07:57+03:00,,,,,,11.45,,,
Nakuru,2025-08-03T15:25:09+03:00,,,,,,11.39,,,
Nakuru,2025-08-03T15:42:20+03:00,,,,,,38.3,,,
Nakuru,2025-08-03T15:59:31+03:00,,,,,,12.38,,,
Nakuru,2025-08-03T17:08:15+03:00,,,,,,12.95,,,
Nakuru,2025-08-03T17:25:26+03:00,,,,,,13.14,,,
Nakuru,2025-08-03T17:42:37+03:00,,,,,,13.45,,,
Nakuru,2025-08-03T17:59:48+03:00,,,,,,14.02,,,
Nakuru,2025-08-03T18:17:03+03:00,,,,,,10.67,,,
Nakuru,2025-08-03T18:34:14+03:00,,,,,,9.73,,,
Nakuru,2025-08-03T18:51:25+03:00,,,,,,9.75,,,
Nakuru,2025-08-03T20:00:09+03:00,,,,,,14.3,,,
Nakuru,2025-08-03T20:17:20+03:00,,,,,,13.75,,,
Nakuru,2025-08-03T20:34:31+03:00,,,,,,10.56,,,
Nakuru,2025-08-03T20:51:43+03:00,,,,,,8.64,,,
Nakuru,2025-08-03T23:09:30+03:00,,,,,,5.32,,,
Nakuru,2025-08-03T23:26:45+03:00,,,,,,4.7,,,
Nakuru,2025-08-03T23:43:56+03:00,,,,,,6.26,,,
Nakuru,2025-08-04T00:01:07+03:00,,,,,,4.11,,,
Nouvelle Pharmacie M'Pouto,2025-08-03T09:00:00Z,0.28,22.0,73.8,,28.0,7.0,77.0,26.1,
Nouvelle Pharmacie M'Pouto,2025-08-03T10:00:00Z,0.28,22.0,72.8,,29.0,7.0,71.0,27.6,
Nouvelle Pharmacie M'Pouto,2025-08-03T11:00:00Z,0.28,23.0,74.9,,29.0,8.0,67.0,28.8,
Nouvelle Pharmacie M'Pouto,2025-08-03T12:00:00Z,0.29,27.0,80.8,,28.0,7.0,65.0,29.5,
Nouvelle Pharmacie M'Pouto,2025-08-03T13:00:00Z,0.29,27.0,82.0,,30.0,9.0,64.0,29.8,
Nouvelle Pharmacie M'Pouto,2025-08-03T14:00:00Z,0.29,27.0,81.3,,26.0,6.0,62.0,30.6,
Nouvelle Pharmacie M'Pouto,2025-08-03T15:00:00Z,0.29,27.0,80.8,,28.0,5.0,64.0,29.7,
Nouvelle Pharmacie M'Pouto,2025-08-03T16:00:00Z,0.29,28.0,83.4,,188.0,23.0,66.0,28.4,
Nouvelle Pharmacie M'Pouto,2025-08-03T17:00:00Z,0.31,29.0,83.9,,30.0,5.0,70.0,27.3,
Nouvelle Pharmacie M'Pouto,2025-08-03T18:00:00Z,0.33,34.0,91.0,,30.0,5.0,72.0,27.0,
Nouvelle Pharmacie M'Pouto,2025-08-03T19:00:00Z,0.31,35.0,91.9,,31.0,8.0,75.0,26.5,
Nouvelle Pharmacie M'Pouto,2025-08-03T20:00:00Z,0.3,30.0,85.8,,35.0,10.0,76.0,26.2,
Nouvelle Pharmacie M'Pouto,2025-08-03T21:00:00Z,0.3,29.0,84.5,,36.0,9.0,75.0,26.2,
Nouvelle Pharmacie M'Pouto,2025-08-03T22:00:00Z,0.28,27.0,81.1,,31.0,9.0,75.0,26.1,
Nouvelle Pharmacie M'Pouto,2025-08-03T23:00:00Z,0.29,28.0,82.4,,27.0,7.0,79.0,26.0,
Nouvelle Pharmacie M'Pouto,2025-08-04T00:00:00Z,0.29,27.0,80.6,,26.0,7.0,83.0,25.9,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T03:07:49+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T03:24:55+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T03:42:01+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T03:59:07+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T04:16:13+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T04:33:19+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T04:50:25+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T06:15:55+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T06:33:01+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T06:50:07+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T08:15:36+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T08:32:41+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T08:49:47+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T09:06:53+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T11:06:31+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T11:23:36+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T11:40:42+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T11:57:47+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T13:06:08+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T13:23:13+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T13:40:18+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T13:57:24+01:00,,,,,,0.0,,,
"Ogada, Obubra Local Government Area (LGA)",2025-08-03T15:05:47+01:00,,,,,,0.0,,,
